date,수분1,수분2,수분3,수분4,수분5,수분6
2023-01-06,28.904347826086955,22.77391304347826,35.50869565217391,27.178260869565218,28.769565217391307,28.782608695652176
2023-01-07,28.29,23.45,84.7225,26.93,29.085,30.4275
2023-01-08,27.443181818181817,19.045454545454547,68.86590909090908,26.54318181818182,27.08409090909091,28.693181818181817
2023-01-09,27.941860465116278,21.030232558139534,71.56046511627906,26.646511627906975,28.741860465116282,28.551162790697674
2023-01-10,27.24888888888889,16.693333333333335,51.56666666666667,26.331111111111113,25.58,27.72888888888889
2023-01-11,27.668888888888887,16.06222222222222,56.86000000000001,26.488888888888887,25.66,27.23777777777778
2023-01-12,28.619565217391305,16.121739130434783,62.38478260869566,27.02391304347826,25.460869565217394,27.13913043478261
2023-01-13,35.99772727272727,26.236363636363638,63.52954545454545,38.1,30.38181818181818,29.395454545454548
2023-01-14,36.68333333333333,27.211111111111112,67.6,42.266666666666666,29.58888888888889,29.511111111111113
2023-01-18,29.900000000000002,25.641666666666666,88.09166666666668,36.916666666666664,26.833333333333332,30.383333333333336
2023-01-19,28.533333333333335,24.335714285714285,71.16904761904763,32.34761904761905,23.461904761904762,29.954761904761902
2023-01-20,28.433333333333334,24.595555555555556,89.03777777777779,31.38888888888889,27.224444444444444,30.417777777777776
2023-01-21,25.76279069767442,19.206976744186047,69.69069767441862,27.58139534883721,18.8953488372093,29.72093023255814
2023-01-22,26.097727272727273,19.393181818181816,99.9,27.49090909090909,21.10909090909091,29.975
2023-01-23,27.026666666666667,23.31111111111111,93.90666666666667,28.3,26.020000000000003,30.288888888888888
2023-01-24,22.811904761904763,8.245238095238095,40.08571428571429,25.507142857142856,8.761904761904763,24.928571428571427
2023-01-25,4.441860465116279,0.0,31.020930232558143,5.744186046511628,0.0,5.16046511627907
2023-01-26,1.5152173913043478,0.0,55.90652173913044,0.0,0.0,2.534782608695652
2023-01-27,1.3659574468085107,0.0,38.729787234042554,0.225531914893617,0.0,2.793617021276596
2023-01-28,0.021739130434782608,0.0,43.59347826086957,0.0,0.0,0.02608695652173913
2023-01-29,1.5304347826086957,0.021739130434782608,62.980434782608704,0.026086956521739136,0.0,0.0
2023-01-30,2.2369565217391307,0.32608695652173914,55.50869565217391,0.6260869565217392,0.0,1.7108695652173913
2023-01-31,2.8347826086956522,0.6347826086956522,47.81304347826087,0.9195652173913043,0.0,3.3043478260869565
2023-02-01,8.045652173913044,1.267391304347826,82.55869565217392,3.5847826086956522,0.0,8.273913043478261
2023-02-02,11.384782608695653,0.5847826086956521,45.026086956521745,6.613043478260869,0.0,10.902173913043478
2023-02-03,15.819565217391306,0.9391304347826086,45.16956521739131,11.360869565217392,0.0,12.43695652173913
2023-02-04,15.186666666666666,0.9,43.75555555555555,10.95111111111111,0.0,11.713333333333335
2023-02-05,15.173913043478262,1.8391304347826085,45.19565217391305,10.660869565217391,0.5543478260869565,11.832608695652173
2023-02-06,16.28,3.9488888888888884,54.68,10.12888888888889,2.2622222222222224,11.877777777777778
2023-02-07,21.35744680851064,6.585106382978723,53.41276595744681,11.368085106382978,8.35531914893617,14.287234042553191
2023-02-08,21.25,6.0804347826086955,52.515217391304354,10.523913043478261,8.102173913043478,14.38695652173913
2023-02-09,19.297777777777778,5.586666666666667,62.48222222222223,9.744444444444444,7.3,13.197777777777777
2023-02-10,22.027906976744188,8.290697674418604,99.89999999999999,12.109302325581396,10.348837209302326,14.634883720930231
2023-02-11,20.74888888888889,6.575555555555555,95.95333333333335,10.444444444444445,8.780000000000001,14.166666666666666
2023-02-12,19.641304347826086,5.869565217391305,61.29347826086956,9.371739130434783,7.591304347826087,13.243478260869566
2023-02-13,20.05581395348837,7.144186046511628,99.89999999999999,10.518604651162791,8.606976744186047,13.265116279069767
2023-02-14,18.504545454545454,5.809090909090909,78.63636363636364,9.222727272727273,7.1886363636363635,12.41590909090909
2023-02-15,17.78181818181818,5.454545454545454,61.39772727272727,8.427272727272728,6.831818181818182,11.811363636363637
2023-02-16,17.353488372093025,5.244186046511628,81.80232558139535,8.30232558139535,6.695348837209302,11.793023255813955
2023-02-17,16.71470588235294,4.985294117647059,51.09117647058824,7.647058823529412,6.382352941176471,11.397058823529411
2023-02-18,17.48409090909091,6.013636363636365,99.9,9.870454545454546,7.375,11.870454545454544
2023-02-19,17.561702127659576,6.11063829787234,88.23829787234042,10.146808510638298,7.676595744680851,11.959574468085107
2023-02-20,15.628260869565217,4.054347826086956,50.69782608695652,8.232608695652173,5.873913043478261,10.839130434782609
2023-02-21,14.143478260869566,3.6565217391304343,44.29347826086957,8.008695652173913,4.995652173913044,10.091304347826087
2023-02-22,14.077777777777778,4.002222222222222,62.19777777777778,8.426666666666666,5.351111111111111,10.162222222222223
2023-02-23,14.514285714285714,5.007142857142857,82.27857142857144,9.035714285714286,6.161904761904762,10.702380952380953
2023-02-24,14.01951219512195,4.61219512195122,62.146341463414636,8.653658536585366,5.907317073170732,10.268292682926829
2023-02-25,13.071111111111112,3.6711111111111108,49.07555555555556,8.157777777777778,5.168888888888889,9.76
2023-02-26,12.740909090909092,3.65,48.6,8.238636363636363,4.75,9.76590909090909
2023-02-27,12.906666666666668,4.1755555555555555,50.637777777777785,8.69111111111111,5.1288888888888895,9.864444444444445
2023-02-28,13.948936170212766,5.51063829787234,61.851063829787236,9.782978723404256,6.208510638297873,10.502127659574468
2023-03-01,14.486666666666666,5.997777777777777,89.80666666666667,10.688888888888888,6.586666666666666,10.717777777777778
