date,수분7,수분8,수분9,수분10
2023-01-06,27.2,23.186956521739127,27.043478260869566,23.456521739130434
2023-01-07,26.357499999999998,22.5225,27.119999999999997,22.965
2023-01-08,25.461363636363636,21.974999999999998,25.30909090909091,22.152272727272727
2023-01-09,25.76046511627907,22.06046511627907,25.900000000000002,22.27674418604651
2023-01-10,25.07111111111111,21.59777777777778,24.815555555555555,21.971111111111114
2023-01-11,25.29318181818182,22.125,24.925,22.30227272727273
2023-01-12,26.102127659574467,22.65531914893617,25.574468085106382,22.9468085106383
2023-01-13,36.050000000000004,28.48409090909091,32.95227272727273,28.572727272727274
2023-01-14,39.26111111111111,29.68333333333333,34.93333333333333,29.833333333333332
2023-01-18,36.61666666666667,22.34583333333333,28.383333333333336,25.233333333333334
2023-01-19,33.75238095238095,21.261904761904763,27.195238095238096,23.78333333333333
2023-01-20,33.553333333333335,21.015555555555558,26.968888888888888,23.91333333333333
2023-01-21,26.804651162790694,19.441860465116278,23.03488372093023,21.5
2023-01-22,26.71590909090909,20.520454545454545,22.586363636363636,22.168181818181818
2023-01-23,28.09777777777778,21.466666666666665,23.68888888888889,23.908888888888892
2023-01-24,23.05,13.28095238095238,19.447619047619046,19.552380952380954
2023-01-25,17.372093023255815,0.0,6.311627906976744,2.6232558139534885
2023-01-26,6.752173913043479,0.0,1.4065217391304348,0.0
2023-01-27,6.14468085106383,0.0,1.7446808510638299,0.00851063829787234
2023-01-28,0.7913043478260869,0.0,0.0,0.0
2023-01-29,2.1391304347826083,0.0,0.07173913043478261,0.15217391304347827
2023-01-30,3.723913043478261,0.049999999999999996,2.2195652173913043,0.6565217391304348
2023-01-31,5.7760869565217385,0.3021739130434783,4.934782608695652,0.9782608695652174
2023-02-01,16.615555555555556,1.011111111111111,18.060000000000002,1.8155555555555556
2023-02-02,22.74042553191489,0.5021276595744681,21.972340425531915,1.497872340425532
2023-02-03,24.415217391304346,2.4369565217391305,22.430434782608696,3.823913043478261
2023-02-04,23.322222222222223,2.097777777777778,19.55111111111111,5.304444444444444
2023-02-05,22.921739130434784,2.856521739130435,18.406521739130437,6.093478260869565
2023-02-06,22.88,3.131111111111111,18.846666666666668,8.437777777777777
2023-02-07,24.138297872340427,3.5170212765957447,19.8,14.740425531914893
2023-02-08,23.969565217391303,3.2695652173913046,19.51304347826087,18.039130434782606
2023-02-09,23.27111111111111,3.184444444444445,19.06222222222222,16.473333333333336
2023-02-10,24.513953488372092,6.767441860465116,20.355813953488372,20.10232558139535
2023-02-11,24.00222222222222,5.242222222222223,19.506666666666664,18.508888888888887
2023-02-12,23.104347826086954,3.460869565217391,19.167391304347827,17.11304347826087
2023-02-13,23.881395348837213,5.390697674418605,19.848837209302324,17.75813953488372
2023-02-14,22.654545454545453,3.7545454545454544,18.536363636363635,15.368181818181819
2023-02-15,22.313636363636363,3.1636363636363636,18.12272727272727,14.29090909090909
2023-02-16,21.904651162790696,3.0232558139534884,17.74186046511628,13.51860465116279
2023-02-17,21.56764705882353,2.6558823529411764,17.235294117647058,12.676470588235293
2023-02-18,21.893181818181816,4.011363636363637,17.897727272727273,13.345454545454546
2023-02-19,21.93191489361702,3.9914893617021274,17.674468085106383,13.291489361702128
2023-02-20,20.72391304347826,2.0130434782608693,15.545652173913044,11.206521739130435
2023-02-21,20.22391304347826,2.0847826086956522,14.710869565217392,9.352173913043478
2023-02-22,20.115555555555556,2.5977777777777775,14.96888888888889,9.408888888888889
2023-02-23,20.34285714285714,2.5785714285714283,15.364285714285714,9.976190476190476
2023-02-24,19.917073170731708,2.3536585365853657,14.87560975609756,9.480487804878049
2023-02-25,19.335555555555555,2.2666666666666666,13.673333333333332,8.464444444444444
2023-02-26,19.09318181818182,2.2409090909090907,13.272727272727273,8.102272727272727
2023-02-27,19.2,2.5577777777777775,13.431111111111111,8.413333333333334
2023-02-28,19.80851063829787,2.963829787234043,14.817021276595744,9.548936170212766
2023-03-01,20.07777777777778,3.371111111111111,15.197777777777777,10.073333333333334
2023-03-02,18.882608695652173,2.221739130434783,13.504347826086958,8.28695652173913
2023-03-03,18.39767441860465,2.3930232558139535,12.625581395348837,7.993023255813953
2023-03-04,18.900000000000002,2.527906976744186,13.111627906976743,8.513953488372094
2023-03-05,22.02857142857143,14.480952380952383,20.735714285714284,19.49047619047619
2023-03-06,25.27741935483871,24.896774193548385,27.861290322580647,29.57741935483871
