이벤트발생일,수분1,수분2,수분3,수분4,수분5
2022-11-24 11:20:21,30.1,22.6,26.8,27.4,27.9
2022-11-24 11:24:50,30,23.4,26.9,27.8,28.1
2022-11-24 11:55:50,31.3,25.5,27.9,29.3,28.4
2022-11-24 12:26:50,32.3,26.9,29.4,30.1,29.6
2022-11-24 12:57:50,32.7,27,29.7,30.4,29.4
2022-11-24 13:28:50,32.7,25.6,29.7,28.8,27.8
2022-11-24 13:59:49,32.7,25.6,29.7,28.9,28.1
2022-11-24 14:30:49,32.7,25.4,29.7,28.6,28.1
2022-11-24 15:01:49,32.3,25.8,29.6,28.4,27.9
2022-11-24 15:32:49,32.5,25.8,29.4,28.5,27.9
2022-11-24 16:03:49,31.3,25.4,28.8,27.9,27.9
2022-11-24 16:34:49,31.4,23.8,27.8,27.2,27.4
2022-11-24 17:05:49,29.7,23.8,27.2,26.9,26.8
2022-11-24 17:36:48,30.1,21.4,26.2,25.9,26.2
2022-11-24 18:07:48,30,20.7,25.2,25.5,25.8
2022-11-24 18:38:48,29.4,20.8,25.1,25.5,25.8
2022-11-24 19:09:48,30,24.3,24.6,28.8,27.2
2022-11-24 19:40:48,28.3,24.3,24.6,27.8,27.2
2022-11-24 20:11:48,28.2,22.9,24.7,28.9,27.5
2022-11-24 20:42:48,30,22.9,25.1,28.4,27.4
2022-11-24 21:13:47,29.3,23.1,24.7,28.2,27.4
2022-11-24 21:44:47,29.6,22.7,24.3,28.1,27.5
2022-11-24 22:15:47,28.8,23.3,24.6,27.5,27.3
2022-11-24 22:46:47,28.6,22.1,24.4,27.5,27.2
2022-11-24 23:17:47,28.2,22.6,24.2,27.5,26.9
2022-11-24 23:48:47,28.8,22.9,23.8,27.7,26.3
2022-11-25 00:19:47,28.2,23.1,24.2,27.8,27.5
2022-11-25 00:50:47,28.2,22.9,23.8,27.8,26
2022-11-25 01:21:46,28.3,22.5,23.8,27.5,27.5
2022-11-25 01:52:46,28.5,22.5,24.3,27.9,26.9
2022-11-25 02:23:46,28.4,22.4,24.3,27.4,28.5
2022-11-25 02:54:46,27.7,23.2,23.6,27.8,28.3
2022-11-25 03:25:46,27.8,22.6,23.8,27.5,27.2
2022-11-25 03:56:46,27.8,22.8,23.7,27.3,27.5
2022-11-25 04:27:46,28.4,22,23.4,27.5,26.2
2022-11-25 04:58:45,28.5,22.7,23.4,27.8,25.9
2022-11-25 05:29:45,27.8,22.9,23.6,27.7,26
2022-11-25 06:00:45,27.2,21.2,23.7,25.6,25.4
2022-11-25 06:31:45,27.7,21.5,23.8,26,27.2
2022-11-25 07:02:45,27.4,22.1,24.3,26,26.3
2022-11-25 08:04:45,28.4,21.9,24.6,27.5,27.8
2022-11-25 08:35:45,28.4,23.3,25.2,27.5,27.4
2022-11-25 09:06:44,28.5,24.3,25.5,27.7,28.8
2022-11-25 09:37:44,30,24.6,27.2,28.6,28.1
2022-11-25 10:08:44,31.1,25.4,27.7,29.7,28.5
2022-11-25 10:39:44,32.1,25.8,28.3,30,28.8
2022-11-25 11:10:44,31.5,25.1,28.2,29.4,28.8
2022-11-25 11:41:44,31.3,26,28.5,29.7,28.9
2022-11-25 12:12:44,32.4,27.4,29.7,30.2,29.7
2022-11-25 12:43:43,33.1,27.2,30,30.4,30
2022-11-25 13:14:43,32,25.2,29.4,28.2,28.1
2022-11-25 13:45:43,32.7,25.6,29.8,28.6,28.2
2022-11-25 14:16:43,32.4,25.4,29.4,28.3,28.1
2022-11-25 14:47:43,31.5,24.2,28.9,28.1,27.8
2022-11-25 15:18:43,32.7,24.9,29.7,28.4,27.9
2022-11-25 15:49:43,32.2,24.6,29.6,27.8,28.2
2022-11-25 16:20:42,31.1,25,28.4,27.8,27.5
2022-11-25 16:51:42,30.4,24.7,28.2,27.4,27.3
2022-11-25 17:22:42,30.1,22.8,26.3,26.9,26.2
2022-11-25 17:53:42,28.6,22.6,25.6,25.6,26.4
2022-11-25 18:24:42,28.9,22.2,25.2,26.2,25.6
2022-11-25 18:55:42,30.1,23.4,25.2,28.4,27.7
2022-11-25 19:26:42,29.8,23.3,25,28.3,27.8
2022-11-25 19:57:41,29.7,23.3,25,27.9,27.5
2022-11-25 20:29:13,29.3,23.1,25,27.9,27.2
2022-11-25 20:59:41,29.3,23.2,24.9,27.9,27.9
2022-11-25 21:30:41,28.4,23.2,25,28.1,27.4
2022-11-25 22:01:41,29.7,23.6,25.1,28.1,27.5
2022-11-25 22:32:41,30,25,25.4,28.4,27.8
2022-11-25 23:03:41,30.2,24.3,25.1,28.2,27.5
2022-11-26 00:06:12,28.6,23.3,25.1,27.8,27.3
2022-11-26 00:36:40,30.2,22.6,25.1,27.8,27.2
2022-11-26 01:07:40,28.4,23.4,25,28.3,27.5
2022-11-26 01:38:40,30,23.4,25,28.6,27.7
2022-11-26 02:09:40,29.7,23.4,25.4,28.4,27.8
2022-11-26 02:40:40,29.3,24.2,25.8,28.3,28.2
2022-11-26 03:11:47,29.4,24.2,25.9,28.5,28.1
2022-11-26 03:42:39,29.6,24.2,26.2,29.4,28.2
2022-11-26 04:13:39,30.2,23.7,26.2,29.6,28.4
2022-11-26 04:44:39,30.4,23.4,26,28.9,28.2
2022-11-26 05:15:39,28.6,24.2,25.8,28.3,27.7
2022-11-26 05:46:39,28.5,24.6,25.1,28.2,27.8
2022-11-26 06:17:39,28.9,23.7,25,27.8,26.9
2022-11-26 06:48:38,28.6,22.7,25.5,27.4,27
2022-11-26 07:19:38,29.6,22.8,25.4,27,27.5
2022-11-26 07:50:38,29.4,24.3,25.1,26.4,26.3
2022-11-26 08:21:38,29.7,22.5,25.9,27.9,28.1
2022-11-26 08:52:38,30,24.2,27,28.6,28.4
2022-11-26 09:23:38,31.1,25.5,27.7,29.7,28.6
2022-11-26 09:54:38,32.1,25.8,28.8,29.8,29.3
2022-11-26 10:25:37,31.5,26,28.9,30.2,29.3
2022-11-26 10:56:37,32.5,26.2,29.3,30.2,29.3
2022-11-26 11:27:37,32.7,27,29.7,30.4,29.7
2022-11-26 11:58:37,32.9,27.3,29.8,30.4,30
2022-11-26 12:29:37,33.1,26.8,29.7,30.4,29.8
2022-11-26 13:00:37,33.1,26.9,29.6,30.4,29.6
2022-11-26 13:31:37,32.7,25,29.4,28.4,27.8
2022-11-26 14:02:36,32.7,25,29.4,28.3,27.8
2022-11-26 14:33:36,32,24.9,28.6,27.8,27.5
2022-11-26 15:04:36,30.9,23.6,27.8,27.2,27.3
2022-11-26 15:35:36,31.5,23.4,28.2,27.2,27.3
2022-11-26 16:06:36,30.7,23.8,27.5,26.4,27.2
2022-11-26 16:37:36,30.4,22.9,26.8,25.9,26.3
2022-11-26 17:08:35,29.4,21.8,25.6,26,25.8
2022-11-26 17:39:35,29.6,20.8,25.2,25.5,24.7
2022-11-26 18:10:35,28.4,20.6,24.9,25,24.7
2022-11-26 18:41:35,29.4,22.6,24.8,27.7,26.9
2022-11-26 19:12:35,28.6,22.4,24.7,27.8,27.3
2022-11-26 19:43:35,28.4,23.4,24.2,27.7,26.4
2022-11-26 20:14:35,28.2,22.7,24.4,27.5,25.8
2022-11-26 20:45:34,28.8,22.2,24.4,27,26.2
2022-11-26 21:16:34,28.4,22.7,24.3,27.3,26.9
2022-11-26 21:47:34,28.4,22.4,23.8,27,25.6
2022-11-26 22:18:34,28.2,22.1,23.6,27.2,25.5
2022-11-26 22:49:34,28.1,21.8,23.3,26.9,24.9
2022-11-26 23:20:34,27.8,21.8,23.3,26.8,24.8
2022-11-26 23:51:34,27.9,21.9,23.4,26.4,25.4
2022-11-27 00:22:34,27.8,21,23.4,25.8,27.9
2022-11-27 00:53:33,27.5,22,23.1,26,25.9
2022-11-27 01:24:33,27.4,20.9,23.3,25.6,27.7
2022-11-27 01:55:33,27.4,21.9,22.9,26.2,25.6
2022-11-27 02:26:33,27.2,21.9,22.7,26.2,27.3
