date,수분6,수분7,수분8,수분9,수분10
2022-11-24,27.46923076923077,26.146153846153844,23.75,31.607692307692307,23.200000000000003
2022-11-25,28.313636363636363,26.593181818181815,23.372727272727275,31.154545454545453,23.05909090909091
2022-11-26,28.127659574468087,26.540425531914895,23.451063829787234,31.24042553191489,23.038297872340426
2022-11-27,28.457777777777775,26.08,22.22888888888889,30.284444444444443,22.075555555555557
2022-11-28,29.512765957446806,28.84255319148936,24.151063829787233,32.09148936170212,24.05744680851064
2022-11-29,36.282222222222224,50.50666666666667,39.08,39.46666666666667,38.84444444444444
2022-11-30,34.12765957446808,48.45106382978723,35.01702127659574,36.712765957446805,33.8936170212766
2022-12-01,32.571111111111115,42.36,29.826666666666668,34.97555555555556,25.971111111111114
2022-12-02,32.538636363636364,38.445454545454545,25.845454545454547,34.40227272727273,23.922727272727272
2022-12-03,33.106818181818184,38.10909090909091,26.056818181818183,35.029545454545456,24.693181818181817
2022-12-04,31.943181818181817,35.775,24.84090909090909,34.086363636363636,23.59090909090909
2022-12-05,32.42978723404256,32.53191489361702,23.625531914893617,33.0936170212766,23.206382978723404
2022-12-06,31.904347826086955,31.356521739130436,23.402173913043477,32.53913043478261,23.682608695652174
2022-12-07,32.33777777777778,31.704444444444444,23.395555555555553,33.044444444444444,24.202222222222222
2022-12-08,32.53777777777778,30.844444444444445,24.12,32.66888888888889,24.24888888888889
2022-12-09,32.51063829787234,30.938297872340424,24.648936170212767,32.81063829787234,24.419148936170213
2022-12-10,31.892500000000002,29.3975,24.5625,31.8025,23.45
2022-12-11,32.425581395348836,29.54186046511628,24.855813953488372,31.844186046511627,23.75581395348837
2022-12-12,32.07,29.02,24.0475,31.375,23.14
2022-12-13,31.968888888888888,29.057777777777776,24.21333333333333,32.04888888888889,23.76
2022-12-14,31.015555555555558,28.128888888888888,23.046666666666663,30.333333333333332,21.959999999999997
2022-12-15,31.576595744680848,28.119148936170212,22.804255319148936,30.617021276595743,22.482978723404255
2022-12-16,31.279999999999998,27.653333333333336,22.395555555555553,30.66,21.964444444444442
2022-12-17,30.848936170212767,27.074468085106382,21.66595744680851,29.925531914893618,21.25744680851064
2022-12-18,30.888372093023257,26.972093023255812,21.69302325581395,29.960465116279067,21.146511627906975
2022-12-19,28.29565217391304,27.05,20.88478260869565,29.286956521739132,21.06086956521739
2022-12-20,26.48913043478261,27.323913043478264,20.55217391304348,29.86086956521739,21.191304347826087
2022-12-21,29.227272727272727,29.152272727272727,21.90681818181818,32.85,22.604545454545455
2022-12-22,30.227659574468085,29.06382978723404,21.43191489361702,32.17872340425532,22.093617021276597
2022-12-23,30.821739130434782,28.584782608695654,21.743478260869566,32.46304347826087,22.15434782608696
2022-12-24,30.684444444444445,27.797777777777778,21.22222222222222,32.55777777777777,21.73111111111111
2022-12-25,29.18,27.4,20.991111111111113,31.25111111111111,20.802222222222223
2022-12-26,26.43913043478261,26.817391304347826,20.680434782608696,29.402173913043477,20.27173913043478
2022-12-27,23.952173913043477,26.14782608695652,20.815217391304348,27.573913043478264,19.893478260869564
2022-12-28,27.029787234042555,26.631914893617022,20.893617021276597,27.51489361702128,19.7
2022-12-29,22.686666666666667,26.275555555555556,19.673333333333332,25.88222222222222,18.52
2022-12-30,22.94347826086957,26.458695652173912,20.517391304347825,26.354347826086954,20.104347826086954
2022-12-31,28.05652173913043,28.404347826086955,21.47826086956522,28.691304347826087,22.065217391304348
2023-01-01,29.35909090909091,28.16818181818182,21.575,28.95,21.838636363636365
2023-01-02,28.695744680851064,27.161702127659574,21.319148936170212,27.502127659574466,21.561702127659576
2023-01-03,26.38,25.471111111111114,21.288888888888888,25.131111111111114,21.235555555555557
2023-01-04,26.630232558139532,25.248837209302327,21.537209302325582,24.45813953488372,21.390697674418604
2023-01-05,27.195555555555554,25.433333333333334,22.026666666666667,25.00222222222222,21.895555555555553
2023-01-06,27.224999999999998,24.8,21.4875,24.483333333333334,21.504166666666666
